pokemon_id,name,base_experience
1,Bulbasaur,64
2,Ivysaur,142
3,Venusaur,236
4,Charmander,62
5,Charmeleon,142
6,Charizard,240
7,Squirtle,63
8,Wartortle,142
9,Blastoise,239
10,Caterpie,39
11,Metapod,72
12,Butterfree,178
13,Weedle,39
14,Kakuna,72
15,Beedrill,178
16,Pidgey,50
17,Pidgeotto,122
18,Pidgeot,216
19,Rattata,51
20,Raticate,145
21,Spearow,52
22,Fearow,155
23,Ekans,58
24,Arbok,157
25,Pikachu,112
26,Raichu,218
27,Sandshrew,60
28,Sandslash,158
29,Nidoran-f,55
30,Nidorina,128
31,Nidoqueen,227
32,Nidoran-m,55
33,Nidorino,128
34,Nidoking,227
35,Clefairy,113
36,Clefable,217
37,Vulpix,60
38,Ninetales,177
39,Jigglypuff,95
40,Wigglytuff,196
41,Zubat,49
42,Golbat,159
43,Oddish,64
44,Gloom,138
45,Vileplume,221
46,Paras,57
47,Parasect,142
48,Venonat,61
49,Venomoth,158
50,Diglett,53
51,Dugtrio,149
52,Meowth,58
53,Persian,154
54,Psyduck,64
55,Golduck,175
56,Mankey,61
57,Primeape,159
58,Growlithe,70
59,Arcanine,194
60,Poliwag,60
61,Poliwhirl,135
62,Poliwrath,230
63,Abra,62
64,Kadabra,140
65,Alakazam,225
66,Machop,61
67,Machoke,142
68,Machamp,227
69,Bellsprout,60
70,Weepinbell,137
71,Victreebel,221
72,Tentacool,67
73,Tentacruel,180
74,Geodude,60
75,Graveler,137
76,Golem,223
77,Ponyta,82
78,Rapidash,175
79,Slowpoke,63
80,Slowbro,172
81,Magnemite,65
82,Magneton,163
83,Farfetchd,132
84,Doduo,62
85,Dodrio,165
86,Seel,65
87,Dewgong,166
88,Grimer,65
89,Muk,175
90,Shellder,61
91,Cloyster,184
92,Gastly,62
93,Haunter,142
94,Gengar,225
95,Onix,77
96,Drowzee,66
97,Hypno,169
98,Krabby,65
99,Kingler,166
100,Voltorb,66
101,Electrode,172
102,Exeggcute,65
103,Exeggutor,186
104,Cubone,64
105,Marowak,149
106,Hitmonlee,159
107,Hitmonchan,159
108,Lickitung,77
109,Koffing,68
110,Weezing,172
111,Rhyhorn,69
112,Rhydon,170
113,Chansey,395
114,Tangela,87
115,Kangaskhan,172
116,Horsea,59
117,Seadra,154
118,Goldeen,64
119,Seaking,158
120,Staryu,68
121,Starmie,182
122,Mr-mime,161
123,Scyther,100
124,Jynx,159
125,Electabuzz,172
126,Magmar,173
127,Pinsir,175
128,Tauros,172
129,Magikarp,40
130,Gyarados,189
131,Lapras,187
132,Ditto,101
133,Eevee,65
134,Vaporeon,184
135,Jolteon,184
136,Flareon,184
137,Porygon,79
138,Omanyte,71
139,Omastar,173
140,Kabuto,71
141,Kabutops,173
142,Aerodactyl,180
143,Snorlax,189
144,Articuno,261
145,Zapdos,261
146,Moltres,261
147,Dratini,60
148,Dragonair,147
149,Dragonite,270
150,Mewtwo,306
151,Mew,270
152,Chikorita,64
153,Bayleef,142
154,Meganium,236
155,Cyndaquil,62
156,Quilava,142
157,Typhlosion,240
158,Totodile,63
159,Croconaw,142
160,Feraligatr,239
161,Sentret,43
162,Furret,145
163,Hoothoot,52
164,Noctowl,158
165,Ledyba,53
166,Ledian,137
167,Spinarak,50
168,Ariados,140
169,Crobat,241
170,Chinchou,66
171,Lanturn,161
172,Pichu,41
173,Cleffa,44
174,Igglybuff,42
175,Togepi,49
176,Togetic,142
177,Natu,64
178,Xatu,165
179,Mareep,56
180,Flaaffy,128
181,Ampharos,230
182,Bellossom,221
183,Marill,88
184,Azumarill,189
185,Sudowoodo,144
186,Politoed,225
187,Hoppip,50
188,Skiploom,119
189,Jumpluff,207
190,Aipom,72
191,Sunkern,36
192,Sunflora,149
193,Yanma,78
194,Wooper,42
195,Quagsire,151
196,Espeon,184
197,Umbreon,184
198,Murkrow,81
199,Slowking,172
200,Misdreavus,87
