encounter_id,pokemon_id,trainer,zone,pokemon_level,combat_power,captured,date
1,195,Leaf,Isla Canela,34,513,False,2026-06-19 06:00:00
2,109,Misty,Ruta 1,33,224,False,2026-05-31 10:00:00
3,78,Ash,Isla Canela,83,1452,False,2026-04-07 10:00:00
4,90,Red,Zona Safari,59,359,False,2026-06-19 08:00:00
5,164,Brock,Monte Moon,46,726,False,2026-02-27 02:00:00
6,59,Misty,Bosque Verde,24,465,False,2026-02-01 18:00:00
7,190,Misty,Ruta 1,89,640,True,2026-06-16 14:00:00
8,69,Ash,Bosque Verde,84,504,False,2026-01-04 01:00:00
9,41,Leaf,Isla Canela,64,313,True,2026-01-06 02:00:00
10,74,Leaf,Monte Moon,21,126,True,2026-03-11 09:00:00
11,187,Ash,Isla Canela,8,40,False,2026-01-11 15:00:00
12,182,Misty,Ruta 1,33,729,False,2026-02-12 14:00:00
13,101,Blue,Isla Canela,53,911,True,2026-03-09 00:00:00
14,177,Blue,Zona Safari,10,64,True,2026-03-10 17:00:00
15,28,Blue,Cueva Celeste,11,173,True,2026-04-28 03:00:00
16,38,Leaf,Cueva Celeste,55,973,True,2026-04-20 15:00:00
17,8,Misty,Cueva Celeste,97,1377,False,2026-03-17 21:00:00
18,27,Red,Zona Safari,29,174,True,2026-06-17 10:00:00
19,127,Red,Bosque Verde,93,1627,True,2026-06-06 02:00:00
20,57,Red,Ruta 1,11,174,False,2026-03-09 02:00:00
21,79,Ash,Isla Canela,8,50,False,2026-06-27 02:00:00
22,22,Misty,Ruta 1,45,697,True,2026-04-29 01:00:00
23,132,Blue,Zona Safari,87,878,True,2026-03-02 23:00:00
24,10,Ash,Bosque Verde,98,382,True,2026-02-13 22:00:00
25,80,Misty,Isla Canela,15,258,True,2026-02-17 00:00:00
26,193,Misty,Ruta 1,54,421,False,2026-03-08 03:00:00
27,154,Misty,Isla Canela,35,826,False,2026-01-12 10:00:00
28,169,Ash,Isla Canela,66,1590,False,2026-01-29 12:00:00
29,58,Blue,Cueva Celeste,50,350,False,2026-05-31 18:00:00
30,1,Blue,Bosque Verde,6,38,False,2026-06-21 01:00:00
31,9,Leaf,Bosque Verde,3,71,False,2026-02-25 14:00:00
32,178,Red,Ruta 1,2,33,False,2026-02-14 22:00:00
33,11,Leaf,Bosque Verde,9,64,False,2026-01-06 05:00:00
34,88,Red,Cueva Celeste,91,591,True,2026-01-11 12:00:00
35,151,Misty,Monte Moon,31,837,False,2026-01-02 16:00:00
36,11,Misty,Cueva Celeste,18,129,True,2026-01-09 03:00:00
37,72,Brock,Isla Canela,64,428,True,2026-03-26 07:00:00
38,119,Red,Ruta 1,18,284,False,2026-05-26 04:00:00
39,38,Ash,Monte Moon,22,389,False,2026-02-13 05:00:00
40,75,Brock,Isla Canela,99,1356,True,2026-06-19 10:00:00
41,93,Blue,Zona Safari,96,1363,False,2026-05-10 17:00:00
42,105,Brock,Monte Moon,12,178,False,2026-02-20 20:00:00
43,20,Misty,Isla Canela,14,203,True,2026-06-30 09:00:00
44,82,Red,Zona Safari,33,537,True,2026-06-22 19:00:00
45,47,Misty,Monte Moon,97,1377,False,2026-03-05 13:00:00
46,140,Ash,Ruta 1,48,340,False,2026-06-07 02:00:00
47,113,Blue,Cueva Celeste,6,237,False,2026-02-23 07:00:00
48,138,Ash,Cueva Celeste,73,518,False,2026-01-30 06:00:00
49,78,Ash,Zona Safari,21,367,False,2026-06-14 10:00:00
50,196,Ash,Bosque Verde,61,1122,True,2026-06-23 09:00:00
51,138,Misty,Ruta 1,19,134,True,2026-04-23 13:00:00
52,43,Ash,Bosque Verde,28,179,True,2026-05-13 13:00:00
53,152,Leaf,Zona Safari,39,249,False,2026-05-31 00:00:00
54,120,Red,Monte Moon,77,523,False,2026-03-07 00:00:00
55,43,Ash,Isla Canela,42,268,True,2026-05-06 05:00:00
56,96,Red,Isla Canela,57,376,False,2026-06-01 03:00:00
57,139,Misty,Cueva Celeste,99,1712,True,2026-02-25 12:00:00
58,198,Ash,Isla Canela,85,688,False,2026-04-19 18:00:00
59,157,Misty,Isla Canela,76,1824,True,2026-04-12 06:00:00
60,155,Misty,Monte Moon,67,415,True,2026-06-04 00:00:00
61,157,Brock,Monte Moon,3,72,True,2026-04-30 04:00:00
62,46,Misty,Bosque Verde,34,193,True,2026-05-12 00:00:00
63,176,Blue,Monte Moon,26,369,False,2026-01-29 04:00:00
64,67,Ash,Isla Canela,82,1164,False,2026-02-16 02:00:00
65,145,Brock,Bosque Verde,35,913,False,2026-05-06 12:00:00
66,165,Blue,Cueva Celeste,17,90,False,2026-01-10 04:00:00
67,154,Leaf,Zona Safari,12,283,True,2026-03-31 10:00:00
68,87,Red,Zona Safari,48,796,True,2026-01-08 08:00:00
69,52,Misty,Bosque Verde,45,261,False,2026-04-03 04:00:00
70,117,Leaf,Isla Canela,48,739,False,2026-03-06 20:00:00
71,7,Leaf,Ruta 1,36,226,False,2026-03-03 19:00:00
72,107,Leaf,Ruta 1,53,842,False,2026-01-30 09:00:00
73,161,Leaf,Bosque Verde,91,391,True,2026-05-27 14:00:00
74,32,Leaf,Ruta 1,57,313,True,2026-03-07 06:00:00
75,41,Blue,Isla Canela,41,200,True,2026-04-18 08:00:00
76,174,Misty,Ruta 1,42,176,True,2026-02-14 07:00:00
77,132,Misty,Ruta 1,79,797,False,2026-04-30 05:00:00
78,157,Misty,Cueva Celeste,3,72,False,2026-05-16 04:00:00
79,16,Red,Bosque Verde,8,40,False,2026-03-18 15:00:00
80,135,Blue,Ruta 1,94,1729,False,2026-04-07 06:00:00
81,109,Ash,Isla Canela,74,503,True,2026-05-23 10:00:00
82,176,Red,Ruta 1,77,1093,False,2026-05-21 09:00:00
83,163,Misty,Cueva Celeste,50,260,False,2026-05-10 22:00:00
84,106,Misty,Cueva Celeste,86,1367,True,2026-01-21 03:00:00
85,95,Red,Bosque Verde,14,107,False,2026-06-10 12:00:00
86,188,Ash,Isla Canela,96,1142,False,2026-03-06 22:00:00
87,191,Brock,Cueva Celeste,43,154,False,2026-06-12 22:00:00
88,69,Ash,Bosque Verde,18,108,False,2026-06-20 18:00:00
89,200,Blue,Bosque Verde,90,783,True,2026-01-05 16:00:00
90,84,Ash,Cueva Celeste,87,539,False,2026-03-30 10:00:00
91,11,Red,Ruta 1,96,691,True,2026-05-31 12:00:00
92,164,Red,Zona Safari,33,521,False,2026-06-10 12:00:00
93,127,Red,Cueva Celeste,40,700,True,2026-02-27 21:00:00
94,88,Leaf,Zona Safari,34,221,True,2026-02-12 11:00:00
95,69,Leaf,Ruta 1,44,264,False,2026-02-09 22:00:00
96,115,Ash,Monte Moon,47,808,True,2026-06-16 16:00:00
97,15,Blue,Isla Canela,59,1050,False,2026-01-31 07:00:00
98,107,Leaf,Ruta 1,67,1065,False,2026-04-11 08:00:00
99,29,Leaf,Zona Safari,7,38,True,2026-06-01 12:00:00
100,185,Red,Monte Moon,18,259,False,2026-06-10 15:00:00
101,135,Brock,Bosque Verde,22,404,True,2026-02-26 01:00:00
102,47,Blue,Monte Moon,62,880,False,2026-01-23 01:00:00
103,76,Leaf,Isla Canela,46,1025,True,2026-03-26 07:00:00
104,176,Red,Zona Safari,85,1207,True,2026-03-23 23:00:00
105,44,Misty,Bosque Verde,55,759,False,2026-05-20 11:00:00
106,32,Misty,Zona Safari,78,429,False,2026-05-01 13:00:00
107,102,Ash,Cueva Celeste,41,266,True,2026-02-13 20:00:00
108,186,Brock,Isla Canela,62,1395,True,2026-05-04 15:00:00
109,160,Ash,Ruta 1,53,1266,False,2026-03-12 02:00:00
110,26,Misty,Monte Moon,41,893,True,2026-06-28 22:00:00
111,5,Leaf,Isla Canela,88,1249,True,2026-06-02 11:00:00
112,120,Misty,Bosque Verde,59,401,False,2026-01-26 23:00:00
113,14,Ash,Monte Moon,79,568,True,2026-03-15 10:00:00
114,157,Ash,Ruta 1,74,1776,False,2026-04-09 04:00:00
115,143,Brock,Ruta 1,86,1625,True,2026-04-18 23:00:00
116,10,Misty,Bosque Verde,83,323,False,2026-03-04 20:00:00
117,165,Misty,Ruta 1,94,498,False,2026-05-17 12:00:00
118,195,Leaf,Zona Safari,12,181,False,2026-03-19 03:00:00
119,91,Red,Isla Canela,52,956,False,2026-02-26 19:00:00
120,192,Leaf,Cueva Celeste,30,447,True,2026-02-14 04:00:00
